"RG","TG","COEF","RE","absCOEF"
"IL20RA_CFH","IL20RA","CFH",0.773032133705501,0.00468318817894707,0.773032133705501
"COL9A2_CFH","COL9A2","CFH",0.086211742899798,0.0056656848940022,0.086211742899798
"NUCB2_CFH","NUCB2","CFH",0.00425124908298393,0.000881485234832737,0.00425124908298393
"CD40_CFH","CD40","CFH",0.0124071994678602,0.00457134605582989,0.0124071994678602
"FGF9_CFH","FGF9","CFH",0.00167139728790562,1.01256696581591e-05,0.00167139728790562
"TRADD_CFH","TRADD","CFH",0.0264691075708833,0.0063420003102717,0.0264691075708833
"TFR2_CFH","TFR2","CFH",0.846891173800853,0.00707831154046165,0.846891173800853
"CD81_CFH","CD81","CFH",0.00198941324132059,0.00227988547162972,0.00198941324132059
"LGR6_CFH","LGR6","CFH",3.94022303714819e-06,2.38706842127435e-08,3.94022303714819e-06
"VTCN1_CFH","VTCN1","CFH",0.730026838291417,0.00344316884363723,0.730026838291417
"IL2RA_CFH","IL2RA","CFH",0.00506126528391189,0.000542425528054765,0.00506126528391189
"YARS1_CFH","YARS1","CFH",0.0174698595365461,0.00216845213410975,0.0174698595365461
"IL22RA1_CFH","IL22RA1","CFH",0.000110736718280955,5.22289316272251e-07,0.000110736718280955
"ACKR3_CFH","ACKR3","CFH",0.0275573989997913,0.00219876166911003,0.0275573989997913
"CTHRC1_CFH","CTHRC1","CFH",0.0108822489285482,0.000629724363952002,0.0108822489285482
"IL16_CFH","IL16","CFH",0.0270953314477402,0.00701791209763667,0.0270953314477402
"GPR171_CFH","GPR171","CFH",0.000537363262955285,3.25545753034808e-06,0.000537363262955285
"TNF_CFH","TNF","CFH",0.0470815414603041,0.00742113453741172,0.0470815414603041
"TNFRSF13B_CFH","TNFRSF13B","CFH",0.788066375132284,0.0048650946934513,0.788066375132284
"HP_CFH","HP","CFH",0.0564181554439303,0.00478334192536114,0.0564181554439303
"GRIN2B_CFH","GRIN2B","CFH",0.000109895619270712,6.78435993488161e-07,0.000109895619270712
"TNFRSF12A_SEMA3F","TNFRSF12A","SEMA3F",0.000589925120982107,7.9901635126223e-05,0.000589925120982107
"PTGER3_SEMA3F","PTGER3","SEMA3F",0.00354127349724365,0.000181223626832679,0.00354127349724365
"SCT_SEMA3F","SCT","SEMA3F",-0.936127343821096,0.00443931029300045,0.936127343821096
"SEMA5A_SEMA3F","SEMA5A","SEMA3F",-0.951076197055573,0.00490803672936713,0.951076197055573
"OPRD1_SEMA3F","OPRD1","SEMA3F",-0.949791322578309,0.00501432056580556,0.949791322578309
"CD160_SEMA3F","CD160","SEMA3F",-0.0013916593380506,2.82510607020723e-05,0.0013916593380506
"RHBDL2_SEMA3F","RHBDL2","SEMA3F",-0.950340367304767,0.0051784015758781,0.950340367304767
"NPPC_SEMA3F","NPPC","SEMA3F",-0.00335972431940773,1.59325105192537e-05,0.00335972431940773
"CCR8_SEMA3F","CCR8","SEMA3F",-2.70425170800785e-15,1.2824123257869e-17,2.70425170800785e-15
"FZD2_SEMA3F","FZD2","SEMA3F",0.963604662600101,0.0277597667813558,0.963604662600101
"KCND2_SEMA3F","KCND2","SEMA3F",0.988684549396541,0.00551507080586023,0.988684549396541
"DLK1_SEMA3F","DLK1","SEMA3F",1.79246323117596e-14,9.9987014491834e-17,1.79246323117596e-14
"KLRK1_SEMA3F","KLRK1","SEMA3F",-0.0106016434475772,5.02751951325808e-05,0.0106016434475772
"LEFTY1_CFTR","LEFTY1","CFTR",0.969461444911666,0.00676794136326689,0.969461444911666
"CNTN1_TFPI","CNTN1","TFPI",0.811227296387179,0.00516335637137461,0.811227296387179
"RTN4R_TFPI","RTN4R","TFPI",0.564723829330542,0.00372085780273126,0.564723829330542
"TNC_TFPI","TNC","TFPI",1.81714324761762e-13,8.33325401466572e-16,1.81714324761762e-13
"CDON_TFPI","CDON","TFPI",0.0328781739819934,0.000209265306856816,0.0328781739819934
"CD59_TFPI","CD59","TFPI",0.00248998151632011,0.00170574817538012,0.00248998151632011
"EFNB1_TFPI","EFNB1","TFPI",0.0213115910206199,0.00106346433291221,0.0213115910206199
"TGFB2_TFPI","TGFB2","TFPI",-0.539906226642547,0.00266967053827207,0.539906226642547
"MMP9_TFPI","MMP9","TFPI",0.00750091193860397,0.00159634183314119,0.00750091193860397
"CCL20_TFPI","CCL20","TFPI",0.00385008353228038,0.00139697072202273,0.00385008353228038
"CD46_TFPI","CD46","TFPI",0.00177726565163773,0.000712486497226533,0.00177726565163773
"IL13RA2_TFPI","IL13RA2","TFPI",0.871952898811633,0.00472962811238797,0.871952898811633
"BMP4_TFPI","BMP4","TFPI",0.000824102527764926,5.24530554673308e-06,0.000824102527764926
"PSPN_TFPI","PSPN","TFPI",1.15480028451704,0.00511208950780346,1.15480028451704
"IGFLR1_TFPI","IGFLR1","TFPI",0.00392375467670675,0.000916376913167545,0.00392375467670675
"RAMP1_TFPI","RAMP1","TFPI",0.00646790874947022,0.000459015658668112,0.00646790874947022
"ITGB4_TFPI","ITGB4","TFPI",0.055442359011987,0.000810586040973646,0.055442359011987
"CHRM3_TFPI","CHRM3","TFPI",0.893214712845946,0.00635603866177644,0.893214712845946
"DYSF_TFPI","DYSF","TFPI",0.00881884954089321,0.000847129676349778,0.00881884954089321
"ANGPTL2_TFPI","ANGPTL2","TFPI",-0.355470477106957,0.00191086035033982,0.355470477106957
"FGF7_TFPI","FGF7","TFPI",0.00493943949000087,3.1438890771179e-05,0.00493943949000087
"COL6A1_TFPI","COL6A1","TFPI",0.00561927634655498,0.000262789291801555,0.00561927634655498
"APP_TFPI","APP","TFPI",4.1274686569781e-06,1.4061273900356e-06,4.1274686569781e-06
"GPC3_TFPI","GPC3","TFPI",0.20858701269093,0.0027629169795064,0.20858701269093
"DRD2_TFPI","DRD2","TFPI",0.00475704626414244,2.18153824309603e-05,0.00475704626414244
"TNFRSF14_TFPI","TNFRSF14","TFPI",0.000656855442258377,0.0002957003613865,0.000656855442258377
"TFF1_TFPI","TFF1","TFPI",0.683527684867768,0.00720117394337569,0.683527684867768
"HCRT_TFPI","HCRT","TFPI",0.466557527940359,0.00458837843233261,0.466557527940359
"ADGRL4_TFPI","ADGRL4","TFPI",-0.0778086647954886,0.00035172968925084,0.0778086647954886
"CAMP_TFPI","CAMP","TFPI",0.00816825199940053,0.000635802307356343,0.00816825199940053
"BMP1_TFPI","BMP1","TFPI",0.0522549079391591,0.00207080277141757,0.0522549079391591
"SDC2_TFPI","SDC2","TFPI",0.00090364108772675,0.000245892507747563,0.00090364108772675
"KISS1_TFPI","KISS1","TFPI",1.05734368056685,0.00533327052244982,1.05734368056685
"FGG_TFPI","FGG","TFPI",0.935960070691103,0.00541770003237304,0.935960070691103
"SAA1_TFPI","SAA1","TFPI",0.0620329143330314,0.00278084970305154,0.0620329143330314
