"RG","TG","COEF","RE","absCOEF"
"LAMA3_CFH","LAMA3","CFH",0.975933440196391,0.0080604593158966,0.975933440196391
"FAP_CFH","FAP","CFH",0.915772073125637,0.00734484490526711,0.915772073125637
"EBI3_CFH","EBI3","CFH",-0.453346107144632,0.00511995083821766,0.453346107144632
"C5_CFH","C5","CFH",0.971614615667203,0.00593727520778966,0.971614615667203
"OPRD1_CFH","OPRD1","CFH",0.000668071333499542,5.35818952576415e-06,0.000668071333499542
"PLD2_CFH","PLD2","CFH",0.487069791863131,0.00605373140562682,0.487069791863131
"HTR2B_CFH","HTR2B","CFH",0.967858477828854,0.00522343454217951,0.967858477828854
"FGF7_CFH","FGF7","CFH",0.00306404868564553,2.53066846111987e-05,0.00306404868564553
"ACE_CFH","ACE","CFH",0.467240644023479,0.00660309144800949,0.467240644023479
"GALR1_CFH","GALR1","CFH",0.000142742591741181,1.14485058944465e-06,0.000142742591741181
"BGN_CFH","BGN","CFH",0.00557160235730312,0.00020493663328324,0.00557160235730312
"SLIT1_CFH","SLIT1","CFH",0.0562175134538191,0.000450886120460915,0.0562175134538191
"ICAM3_CD99","ICAM3","CD99",0.0132284656416571,0.00965918669314832,0.0132284656416571
"S100A4_CD99","S100A4","CD99",0.0816519464550292,0.146291161852771,0.0816519464550292
"MIF_CD99","MIF","CD99",0.0442860522122811,0.0356517658323512,0.0442860522122811
"TNFRSF12A_TFPI","TNFRSF12A","TFPI",0.0100233096363377,0.000238132140221394,0.0100233096363377
"HFE_TFPI","HFE","TFPI",0.973636369112507,0.00782174195089031,0.973636369112507
"TSPAN15_TFPI","TSPAN15","TFPI",0.0154617049142649,0.000287127272846011,0.0154617049142649
"KCND1_TFPI","KCND1","TFPI",0.00011953540625723,9.60291882472657e-07,0.00011953540625723
"APCDD1_TFPI","APCDD1","TFPI",3.19468887192264e-15,2.56646452025379e-17,3.19468887192264e-15
"SPINK1_TFPI","SPINK1","TFPI",1.01044624148738,0.0179937219846033,1.01044624148738
"SAA1_TFPI","SAA1","TFPI",0.00430016892820944,0.000136258535143251,0.00430016892820944
"SPTBN2_TFPI","SPTBN2","TFPI",0.00747214883447676,6.00277699724767e-05,0.00747214883447676
"EFNA5_TFPI","EFNA5","TFPI",6.56175304269002e-15,5.27140734196012e-17,6.56175304269002e-15
"CLDN4_TFPI","CLDN4","TFPI",-0.991285671939994,0.00782024819175507,0.991285671939994
"CCR6_PLXND1","CCR6","PLXND1",0.0166656134214078,0.00166048640508806,0.0166656134214078
"IL18RAP_PLXND1","IL18RAP","PLXND1",0.14007142117645,0.00964697236193626,0.14007142117645
"OPRL1_PLXND1","OPRL1","PLXND1",0.573305032736511,0.00476298011603392,0.573305032736511
"PSPN_PLXND1","PSPN","PLXND1",0.00339904729329506,2.52329327515502e-05,0.00339904729329506
"CLEC10A_PLXND1","CLEC10A","PLXND1",0.639445726829966,0.00418075401099328,0.639445726829966
"RIPK1_PLXND1","RIPK1","PLXND1",0.0727768303656613,0.00542025843147928,0.0727768303656613
"GSTO1_PLXND1","GSTO1","PLXND1",0.00629189643870776,0.00149638643858474,0.00629189643870776
"ITGB1_PLXND1","ITGB1","PLXND1",0.0129027895739341,0.00614802534873083,0.0129027895739341
"FGF11_PLXND1","FGF11","PLXND1",0.613070050236011,0.00399576447751122,0.613070050236011
"TSPAN5_PLXND1","TSPAN5","PLXND1",0.0278827321271736,0.00275969518422326,0.0278827321271736
"FPR1_PLXND1","FPR1","PLXND1",0.0738617588781848,0.00172522972491473,0.0738617588781848
"NMUR1_PLXND1","NMUR1","PLXND1",0.0080580856125847,0.000493472140758086,0.0080580856125847
"KCNA3_PLXND1","KCNA3","PLXND1",0.0256790386999196,0.00170640614747453,0.0256790386999196
"THBD_PLXND1","THBD","PLXND1",0.00209576679995271,1.37023129366203e-05,0.00209576679995271
"MAGED1_PLXND1","MAGED1","PLXND1",0.0376411287143365,0.00308887618176101,0.0376411287143365
"LAMA2_PLXND1","LAMA2","PLXND1",0.816581845903882,0.00661420111900368,0.816581845903882
"FLT4_ITGA3","FLT4","ITGA3",0.939135201528884,0.00643145401128039,0.939135201528884
"SEMA3C_ITGA3","SEMA3C","ITGA3",0.971910707748048,0.00736291694805937,0.971910707748048
"MMP2_ITGA3","MMP2","ITGA3",0.961234721787969,0.00574135692353751,0.961234721787969
"SEMA4G_ITGA3","SEMA4G","ITGA3",0.000116199607295347,7.95766604459327e-07,0.000116199607295347
"HRG_ITGA3","HRG","ITGA3",2.30734785892075e-14,1.58013474721389e-16,2.30734785892075e-14
"CR2_ITGA3","CR2","ITGA3",2.44571609553979e-06,1.67489308967497e-08,2.44571609553979e-06
"CRHR1_ITGA3","CRHR1","ITGA3",4.45281863675994e-07,2.65962314197986e-09,4.45281863675994e-07
"IFNA6_ITGA3","IFNA6","ITGA3",0.00268834718414473,1.84105347696843e-05,0.00268834718414473
"EDA2R_ITGA3","EDA2R","ITGA3",0.946603570811501,0.00636211010114191,0.946603570811501
"ITGB4_ITGA3","ITGB4","ITGA3",3.56430836688271e-16,2.39556694732189e-18,3.56430836688271e-16
"BMPR1B_ITGA3","BMPR1B","ITGA3",0.00310692132407404,2.12770446469459e-05,0.00310692132407404
"PTPRF_ITGA3","PTPRF","ITGA3",0.00023991247566707,1.81750815075687e-06,0.00023991247566707
"GFRA1_ITGA3","GFRA1","ITGA3",1.12028048567636e-05,7.52939035284182e-08,1.12028048567636e-05
"RHBDL2_ITGA3","RHBDL2","ITGA3",4.64757855681765e-16,3.12363141170404e-18,4.64757855681765e-16
"ADGRV1_ITGA3","ADGRV1","ITGA3",0.00439399255205517,9.35971879276611e-05,0.00439399255205517
"IGF2_ITGA3","IGF2","ITGA3",0.017529333091665,0.000117814416264199,0.017529333091665
"ROR2_ITGA3","ROR2","ITGA3",0.00344073634703459,2.05511671606799e-05,0.00344073634703459
"ROBO1_ITGA3","ROBO1","ITGA3",1.02266233567217e-05,6.87330005554448e-08,1.02266233567217e-05
"RIMS2_ITGA3","RIMS2","ITGA3",0.019748632528066,0.000135244022035549,0.019748632528066
"CNR2_ITGA3","CNR2","ITGA3",5.99461325155418e-05,4.02897165150738e-07,5.99461325155418e-05
"FAT4_ITGA3","FAT4","ITGA3",1.38029588717517e-15,9.27695043325637e-18,1.38029588717517e-15
"CSF2RA_ITGA3","CSF2RA","ITGA3",5.61444015823925e-09,3.77345781744401e-11,5.61444015823925e-09
"CXCR1_CRLF1","CXCR1","CRLF1",0.969461444911664,0.00633559813893267,0.969461444911664
"NPR1_CRLF1","NPR1","CRLF1",1.5404344466674e-15,1.0067005412828e-17,1.5404344466674e-15
"CEACAM6_CX3CL1","CEACAM6","CX3CL1",-0.827274089595547,0.00745480601082335,0.827274089595547
"ICAM1_CX3CL1","ICAM1","CX3CL1",0.00695316904275373,0.000339084182199124,0.00695316904275373
"OSM_CX3CL1","OSM","CX3CL1",0.00524114234128749,0.000306510107153786,0.00524114234128749
"NTSR1_CX3CL1","NTSR1","CX3CL1",-0.813818077687712,0.00630457356324766,0.813818077687712
"RETN_CX3CL1","RETN","CX3CL1",0.00684015307412521,0.000284903933115585,0.00684015307412521
"SFTPA1_CX3CL1","SFTPA1","CX3CL1",0.00541465512679623,0.000254877339634615,0.00541465512679623
"FLRT3_CX3CL1","FLRT3","CX3CL1",-0.00137039265547968,2.09826428265716e-05,0.00137039265547968
"SMO_CX3CL1","SMO","CX3CL1",-0.76917377537665,0.00581797831460619,0.76917377537665
"APOC1_CX3CL1","APOC1","CX3CL1",9.27071092396186e-05,1.79396508887572e-05,9.27071092396186e-05
"ULBP2_CX3CL1","ULBP2","CX3CL1",0.0079951451603117,0.000123558978496399,0.0079951451603117
"EDNRB_CX3CL1","EDNRB","CX3CL1",-0.0311823481553471,0.000525773429012364,0.0311823481553471
"IL10_CX3CL1","IL10","CX3CL1",0.0666461678217471,0.00143760003010798,0.0666461678217471
